Latin Name - Sanskrit - Translation
ākarṇa dhanurāsana	आकर्ण धनुरासन	akarna dhanurasana
setu bandha sarvāṅgāsana	सेतु बन्ध सर्वाङ्गासन	setu bandha sarvangasana
eka pāda setu bandha sarvāṅgāsana	एक पाद सेतु बन्ध सर्वाङ्गासन	eka pada setu bandha sarvangasana
ardha sarvāṅgāsana	अर्ध सर्वाङ्गासन	ardha sarvangasana
eka pāda sarvāṅgāsana	एक पाद सर्वाङ्गासन	eka pada sarvangasana
pārśva eka pāda sarvāṅgāsana	पार्श्व एक पाद सर्वाङ्गासन	parshva eka pada sarvangasana
pārśva sarvāṅgāsana	पार्श्व सर्वाङ्गासन	parshva sarvangasana
nirālamba sarvāṅgāsana	निरालम्ब सर्वाङ्गासन	niralamba sarvangasana
parivṛtta pārśvakoṇāsana	परिवृत्त पार्श्वकोणासन	parivritta parshvakonasana
skandāsana	स्कन्दासन	skandasana
skandāsana	स्कन्दासन	skandasana
skandāsana	स्कन्दासन	skandasana
sarpāsana	सर्पासन	sarpasana
sālamba bhujaṅgāsana	सालम्ब भुजङ्गासन	salamba bhujangasana
hanumānāsana	हनुमानासन	hanumanasana
hanumānāsana	हनुमानासन	hanumanasana
hanumānāsana	हनुमानासन	hanumanasana
hanumānāsana	हनुमानासन	hanumanasana
ūrdhva prasārita eka pādāsana	ऊर्ध्व प्रसारित एक पादासन	urdhva prasarita eka padasana
ūrdhva prasārita eka pādāsana	ऊर्ध्व प्रसारित एक पादासन	urdhva prasarita eka padasana
samakoṇāsana	समकोणासन	samakonasana
daṇḍāsana	दण्डासन	dandasana
dvi pāda viparīta daṇḍāsana	द्वि पाद विपरीत दण्डासन	dvi pada viparita dandasana
eka pāda viparīta daṇḍāsana	एक पाद विपरीत दण्डासन	eka pada viparita dandasana
dūrvāsāsana	दूर्वासासन	durvasasana
ṛcīkāsana	ऋचीकासन	richikasana
ardha baddha padmottānāsana	अर्ध बद्ध पद्मोत्तानासन	ardha baddha padmottanasana
ardha padmāsana	अर्ध पद्मासन	ardha padmasana
utthita hasta pādāṅguṣṭhāsana b	उत्थित हस्त पादाङ्गुष्ठासन ब्	utthita hasta padangushthasana b
utthita hasta pādāṅguṣṭhāsana a	उत्थित हस्त पादाङ्गुष्ठासन अ	utthita hasta padangushthasana a
utthita hasta pādāṅguṣṭhāsana c	उत्थित हस्त पादाङ्गुष्ठासन च्	utthita hasta padangushthasana c
parivṛtta hasta pādāṅguṣṭhāsana	परिवृत्त हस्त पादाङ्गुष्ठासन	parivritta hasta padangushthasana
daṇḍayamana jānu śīrṣāsana	दण्डयमन जानु शीर्षासन	dandayamana janu shirshasana
utthita tāḍāsana	उत्थित ताडासन	utthita tadasana
supta koṇāsana	सुप्त कोणासन	supta konasana
jaṭhara parivartānāsana	जठर परिवर्तानासन	jathara parivartanasana
supta baddha koṇāsana	सुप्त बद्ध कोणासन	supta baddha konasana
utthita supta baddha koṇāsana	उत्थित सुप्त बद्ध कोणासन	utthita supta baddha konasana
kapilāsana	कपिलासन	kapilasana
supta pādāṅguṣṭhāsana b	सुप्त पादाङ्गुष्ठासन ब्	supta padangushthasana b
supta pādāṅguṣṭhāsana a	सुप्त पादाङ्गुष्ठासन अ	supta padangushthasana a
parivṛtta supta pādāṅguṣṭhāsana	परिवृत्त सुप्त पादाङ्गुष्ठासन	parivritta supta padangushthasana
supta kapotāsana	सुप्त कपोतासन	supta kapotasana
supta matsyendrāsana	सुप्त मत्स्येन्द्रासन	supta matsyendrasana
supta samakoṇāsana	सुप्त समकोणासन	supta samakonasana
supta vajrāsana	सुप्त वज्रासन	supta vajrasana
kūrmāsana	कूर्मासन	kurmasana
supta kūrmāsana	सुप्त कूर्मासन	supta kurmasana
supta trivikramāsana	सुप्त त्रिविक्रमासन	supta trivikramasana
ardha pūrvottānāsana	अर्ध पूर्वोत्तानासन	ardha purvottanasana
vajrāsana	वज्रासन	vajrasana
parivṛtta vajrāsana	परिवृत्त वज्रासन	parivritta vajrasana
vyāghrāsana	व्याघ्रासन	vyaghrasana
pādāṅguṣṭhāsana	पादाङ्गुष्ठासन	padangushthasana
utthita tittibhāsana	उत्थित तित्तिभासन	utthita tittibhasana
vṛkṣāsana	वृक्षासन	vrikshasana
vṛkṣāsana	वृक्षासन	vrikshasana
vṛkṣāsana	वृक्षासन	vrikshasana
patan vṛkṣāsana	पतन् वृक्षासन	patan vrikshasana
baddha trikoṇāsana	बद्ध त्रिकोणासन	baddha trikonasana
trikoṇāsana	त्रिकोणासन	trikonasana
parivṛtta trikoṇāsana	परिवृत्त त्रिकोणासन	parivritta trikonasana
trivikramāsana a	त्रिविक्रमासन अ	trivikramasana a
pavanamuktāsana	पवनमुक्तासन	pavanamuktasana
pavanamuktāsana	पवनमुक्तासन	pavanamuktasana
ūrdhva mukha śvānāsana	ऊर्ध्व मुख श्वानासन	urdhva mukha shvanasana
ūrdhva mukha śvānāsana	ऊर्ध्व मुख श्वानासन	urdhva mukha shvanasana
viśvāmitrāsana	विश्वामित्रासन	vishvamitrasana
viśvāmitrāsana	विश्वामित्रासन	vishvamitrasana
ardha viśvāmitrāsana	अर्ध विश्वामित्रासन	ardha vishvamitrasana
baddha vīrabhadrāsana	बद्ध वीरभद्रासन	baddha virabhadrasana
vīrabhadrāsana a	वीरभद्रासन अ	virabhadrasana a
vīrabhadrāsana b	वीरभद्रासन ब्	virabhadrasana b
pārśvakoṇāsana	पार्श्वकोणासन	parshvakonasana
utthita pārśvakoṇāsana	उत्थित पार्श्वकोणासन	utthita parshvakonasana
vīrabhadrāsana c	वीरभद्रासन च्	virabhadrasana c
vīrabhadrāsana c	वीरभद्रासन च्	virabhadrasana c
viparīta vīrabhadrāsana	विपरीत वीरभद्रासन	viparita virabhadrasana
añjaneyāsana	अञ्जनेयासन	anjaneyasana
vīrabhadrāsana a	वीरभद्रासन अ	virabhadrasana a
parivṛtta baddha pārśvakoṇāsana	परिवृत्त बद्ध पार्श्वकोणासन	parivritta baddha parshvakonasana
ūrdhva dhanurāsana	ऊर्ध्व धनुरासन	urdhva dhanurasana
ardha ūrdhva dhanurāsana	अर्ध ऊर्ध्व धनुरासन	ardha urdhva dhanurasana
eka pāda ūrdhva dhanurāsana	एक पाद ऊर्ध्व धनुरासन	eka pada urdhva dhanurasana
prasārita pādottānāsana a	प्रसारित पादोत्तानासन अ	prasarita padottanasana a
prasārita pādottānāsana b	प्रसारित पादोत्तानासन ब्	prasarita padottanasana b
prasārita pādottānāsana c	प्रसारित पादोत्तानासन च्	prasarita padottanasana c
prasārita pādottānāsana d	प्रसारित पादोत्तानासन द्	prasarita padottanasana d
parivṛtta prasārita pādottānāsana	परिवृत्त प्रसारित पादोत्तानासन	parivritta prasarita padottanasana
pārśva prasārita pādottānāsana	पार्श्व प्रसारित पादोत्तानासन	parshva prasarita padottanasana
parivṛtta prasārita pādottānāsana	परिवृत्त प्रसारित पादोत्तानासन	parivritta prasarita padottanasana
camatkārāsana	चमत्कारासन	chamatkarasana
eka pāda pavanamuktāsana	एक पाद पवनमुक्तासन	eka pada pavanamuktasana
eka pāda pavanamuktāsana	एक पाद पवनमुक्तासन	eka pada pavanamuktasana
yoga nidrāsana	योग निद्रासन	yoga nidrasana
